[2025-08-19 07:30:17,895: INFO: __init__: Data Presentation Completed]
[2025-08-19 07:33:03,177: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:33:03,986: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:33:03,986: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:33:03,996: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:33:03,998: INFO: __init__: Data Presentation Begins]
[2025-08-19 07:33:04,091: INFO: __init__: Data Presentation Completed]
[2025-08-19 07:33:10,479: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:33:10,797: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:33:10,805: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:33:10,812: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:33:10,818: INFO: __init__: Data Presentation Begins]
[2025-08-19 07:33:10,851: INFO: __init__: Data Presentation Completed]
[2025-08-19 07:33:24,073: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:33:24,416: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:33:24,417: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:33:24,417: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:33:24,417: INFO: __init__: Data Presentation Begins]
[2025-08-19 07:33:24,437: INFO: __init__: Data Presentation Completed]
[2025-08-19 07:33:30,678: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:33:31,184: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:33:31,184: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:33:31,186: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:33:31,187: INFO: __init__: Data Presentation Begins]
[2025-08-19 07:33:31,200: INFO: __init__: Data Presentation Completed]
[2025-08-19 07:33:34,103: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:33:34,148: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:33:34,148: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:33:34,151: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:33:34,151: INFO: __init__: Data Presentation Begins]
[2025-08-19 07:33:34,164: INFO: __init__: Data Presentation Completed]
[2025-08-19 07:33:52,870: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:33:53,095: ERROR: multi: 
1 Failed download:]
[2025-08-19 07:33:53,095: ERROR: multi: ['APPL']: YFPricesMissingError('possibly delisted; no price data found  (1d 2020-01-01 -> 2025-08-19)')]
[2025-08-19 07:33:53,095: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:33:53,095: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:33:56,335: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:33:56,621: ERROR: multi: 
1 Failed download:]
[2025-08-19 07:33:56,621: ERROR: multi: ['APPL']: YFPricesMissingError('possibly delisted; no price data found  (1d 2020-01-01 -> 2025-08-19)')]
[2025-08-19 07:33:56,623: INFO: __init__: Data Ingestion Ended Successfully]
